id;Наименование продукта;kal
1257;Стейк, Чак-ай, без кости, говядина, только мясо, обрезь до 0'' жира, отборная, гриль;182
1258;Стейк, Чак-ай, без кости, говядина, только мясо, обрезь до 0'' жира, отборная, сырая;151
1259;Стейк, Чак-ай, без кости, говядина, только мясо, обрезь до 0'' жира, первый сорт, гриль;63
1260;Стейк, Чак-ай, без кости, говядина, только мясо, обрезь до 0'' жира, первый сорт, сырая;98
1261;Стейки для сэндвича, говядина, нарубленные, формованные, тонко нарезанные, сырые;173
1262;Тефтели, вариант 1, говядина, по 1-452;140
1263;Тимус, говядина, сырой;209
1264;Тимус, говядина, тушеный;268
1265;Туша, говядина, мясо и жир, отборная, сырая;174
1266;Туша, говядина, мясо и жир, первый сорт, сырая;86
1267;Фарш, говядина, 70% мясо, 30% жир, в панировке, поджаренный, на сковороде;262
1268;Фарш, говядина, 70% мясо, 30% жир, сырой;214
1269;Фарш, говядина, 75% мясо, 25% жир, в панировке, поджаренный, на сковороде;105
1270;Фарш, говядина, 75% мясо, 25% жир, сырой;54
1271;Фарш, говядина, 80% мясо, 20% жир, в панировке, поджаренный, на сковороде;240
1272;Фарш, говядина, 80% мясо, 20% жир, сырой;112
1273;Фарш, говядина, 85% мясо, 15% жир, в панировке, поджаренный, на сковороде;90
1274;Фарш, говядина, 85% мясо, 15% жир, сырой;173
1275;Фарш, говядина, 90% мясо, 10% жир, в панировке, поджаренный, на сковороде;128
1276;Фарш, говядина, 90% мясо, 10% жир, сырой;236
1277;Фарш, говядина, 95% мясо, 5% жир, в панировке, поджаренный, на сковороде;170
1278;Фарш, говядина, 95% мясо, 5% жир, сырой;115
1279;Фарш, говядина, грубого помола, замороженный, приготовленный, USDA Commodity;225
1280;Фарш, говядина, грубого помола, замороженный, сырой, USDA Commodity;74
1281;Фарш, говядина, пастбищная, сырой;90
1282;Шея, для тушения, говядина, мясо и жир, всех сортов, сырая;126
1283;Шея, для тушения, говядина, мясо и жир, всех сортов, тушеная;171
1284;Шея, для тушения, говядина, мясо и жир, отборная, сырая;118
1285;Шея, для тушения, говядина, мясо и жир, отборная, тушеная;82
1286;Шея, для тушения, говядина, мясо и жир, первый сорт, сырая;55
1287;Шея, для тушения, говядина, мясо и жир, первый сорт, тушеная;255
1288;Шницель, рубленый, говядина, по 1-442;122
1289;Шорт рибс, краевая покромка, без костей, говядина, мясо и жир, обрезь до 0'' жира, всех сортов, сырая;132
1290;Шорт рибс, краевая покромка, без костей, говядина, мясо и жир, обрезь до 0'' жира, всех сортов, тушеная;108
1291;Шорт рибс, краевая покромка, без костей, говядина, мясо и жир, обрезь до 0'' жира, отборная, сырая;123
1292;Шорт рибс, краевая покромка, без костей, говядина, мясо и жир, обрезь до 0'' жира, отборная, тушеная;184
1293;Шорт рибс, краевая покромка, без костей, говядина, мясо и жир, обрезь до 0'' жира, первый сорт, сырая;237
1294;Шорт рибс, краевая покромка, без костей, говядина, мясо и жир, обрезь до 0'' жира, первый сорт, тушеная;88
1295;Шорт рибс, краевая покромка, без костей, говядина, только мясо, обрезь до 0'' жира, всех сортов, сырая;259
1296;Шорт рибс, краевая покромка, без костей, говядина, только мясо, обрезь до 0'' жира, всех сортов, тушеная;113
1297;Шорт рибс, краевая покромка, без костей, говядина, только мясо, обрезь до 0'' жира, отборная, сырая;74
1298;Шорт рибс, краевая покромка, без костей, говядина, только мясо, обрезь до 0'' жира, отборная, тушеная;160
1299;Шорт рибс, краевая покромка, без костей, говядина, только мясо, обрезь до 0'' жира, первый сорт, сырая;248
1300;Шорт рибс, краевая покромка, без костей, говядина, только мясо, обрезь до 0'' жира, первый сорт, тушеная;152
1301;Щуп, говядина, мясо и жир, обрезь до 0'' жира, всех сортов, жаренный;182
1302;Щуп, говядина, мясо и жир, обрезь до 0'' жира, отборная, жаренный;286
1303;Щуп, говядина, мясо и жир, обрезь до 0'' жира, первый сорт, жаренный;62
1304;Щуп, говядина, мясо и жир, обрезь до 1/8'' жира, всех сортов, жаренный;126
1305;Щуп, говядина, мясо и жир, обрезь до 1/8'' жира, всех сортов, сырой;102
1306;Щуп, говядина, мясо и жир, обрезь до 1/8'' жира, отборная, жаренный;180
1307;Щуп, говядина, мясо и жир, обрезь до 1/8'' жира, отборная, сырой;267
1308;Щуп, говядина, мясо и жир, обрезь до 1/8'' жира, первый сорт, жаренный;297
1309;Щуп, говядина, мясо и жир, обрезь до 1/8'' жира, первый сорт, сырой;72
1310;Щуп, говядина, только мясо, обрезь до 0'' жира, всех сортов, жаренный;92
1311;Щуп, говядина, только мясо, обрезь до 0'' жира, отборная, жаренный;292
1312;Щуп, говядина, только мясо, обрезь до 0'' жира, первый сорт, жаренный;222
1313;Щуп, говядина, только мясо, обрезь до 1/8'' жира, всех сортов, жаренный;93
1314;Щуп, говядина, только мясо, обрезь до 1/8'' жира, всех сортов, сырой;82
1315;Щуп, говядина, только мясо, обрезь до 1/8'' жира, отборная, жаренный;54
1316;Щуп, говядина, только мясо, обрезь до 1/8'' жира, отборная, сырой;82
1317;Щуп, говядина, только мясо, обрезь до 1/8'' жира, первый сорт, сырой;58
1318;Язык, говядина;263
1319;Язык, говядина, готов. на медленном огне;118
1320;Язык, говядина, отварной, по 1-394;201
1321;Язык, говядина, сырой;105
1322;Язык, говяжий, в желе, консерв.;115
1323;Babyfood, juice treats, fruit medley, toddler;60
1324;Babyfood, juice, apple - cherry;171
1325;Child formula, ABBOTT NUTRITION, PEDIASURE, ready-to-feed, with iron and fiber (formerly ROSS);286
1326;Child formula, MEAD JOHNSON, PORTAGEN, with iron, powder, not reconstituted;104
1327;Child formula, MEAD JOHNSON, PORTAGEN, with iron, prepared from powder;205
1328;Child formula, ROSS, PEDIASURE, ready-to-feed;176
1329;Fluid replacement, electrolyte solution (include PEDIALYTE);75
1330;Gerber graduates Fruit Strips Real Fruit Bars;267
1331;Infant formula, ABBOTT NUTRITION, ALIMENTUM ADVANCE, with iron, powder, not reconstituted, with DHA and ARA (formerly ROSS);283
1332;Infant Formula, MEAD JOHNSON, ENFAMIL GENTLEASE LIPIL, with iron, prepared from powder;257
1333;Infant formula, NESTLE, GOOD START SOY, with DHA and ARA, liquid concentrate;136
1334;Infant formula, NESTLE, GOOD START SOY, with DHA AND ARA, powder;51
1335;Infant formula, NESTLE, GOOD START SOY, with DHA and ARA, ready-to-feed;299
1336;Infant formula, NESTLE, GOOD START SUPREME, with iron, DHA and ARA, prepared from liquid concentrate;146
1337;Infant formula, NESTLE, GOOD START SUPREME, with iron, DHA and ARA, ready-to-feed;191
1338;MEAD JOHNSON, ENFAMIL LIPIL, с железом, готовый к употреблению, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота, Заменитель грудного молока;60
1339;MEAD JOHNSON, ENFAMIL, AR LIPIL, готовый к употреблению, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота, Заменитель грудного молока;204
1340;MEAD JOHNSON, ENFAMIL, AR LIPIL, порошок, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота, Заменитель грудного молока;190
1341;MEAD JOHNSON, ENFAMIL, ENFACARE LIPIL, готовый к употреблению, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота, Заменитель грудного молока;284
1342;MEAD JOHNSON, ENFAMIL, ENFACARE LIPIL, порошок, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота, Заменитель грудного молока;61
1343;MEAD JOHNSON, ENFAMIL, LACTOFREE, LIPIL, с железом, жидкий концентрат, невосстановленный, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота, Заменитель грудного молока;246
1344;MEAD JOHNSON, ENFAMIL, LACTOFREE, готовый к употреблению, Заменитель грудного молока;62
1345;MEAD JOHNSON, ENFAMIL, LIPIL, готовый к употреблению, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота, Заменитель грудного молока;52
1346;MEAD JOHNSON, ENFAMIL, LIPIL, с железом, жидкий концентрат, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота, Заменитель грудного молока;275
1347;MEAD JOHNSON, ENFAMIL, LIPIL, с железом, порошок, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота, Заменитель грудного молока;88
1348;MEAD JOHNSON, ENFAMIL, LIPIL, с низким содерж. железа, готовый к употреблению, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота, Заменитель грудного молока;210
1349;MEAD JOHNSON, ENFAMIL, LIPIL, с низким содерж. железа, жидкий концентрат, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота, Заменитель грудного молока;53
1350;MEAD JOHNSON, ENFAMIL, LIPIL, с низким содерж. железа, порошок, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота, Заменитель грудного молока;218
1351;MEAD JOHNSON, ENFAMIL, NUTRAMIGEN LIPIL, с железом, готовый к употреблению, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота, Заменитель грудного молока;293
1352;MEAD JOHNSON, ENFAMIL, NUTRAMIGEN LIPIL, с железом, порошок, невосстановленный, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота, Заменитель грудного молока;90
1353;MEAD JOHNSON, ENFAMIL, NUTRAMIGEN, LIPIL, с железом, жидкий концентрат, невосстановленный, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота, Заменитель грудного молока;56
1354;MEAD JOHNSON, ENFAMIL, NUTRAMIGEN, с железом, готовый к употреблению, Заменитель грудного молока;139
1355;MEAD JOHNSON, ENFAMIL, NUTRAMIGEN, с железом, жидкий концентрат, невосстановленный, Заменитель грудного молока;289
1356;MEAD JOHNSON, ENFAMIL, NUTRAMIGEN, с железом, порошок, невосстановленный, Заменитель грудного молока;294
1357;MEAD JOHNSON, ENFAMIL, PROSOBEE LIPIL, с железом, невосстановленный, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота, Заменитель грудного молока;181
1358;MEAD JOHNSON, ENFAMIL, PROSOBEE, LIPIL, жидкий концентрат, невосстановленный, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота, Заменитель грудного молока;136
1359;MEAD JOHNSON, ENFAMIL, PROSOBEE, с железом, порошок, невосстановленный, Заменитель грудного молока;73
1360;MEAD JOHNSON, ENFAMIL, с железом, готовый к употреблению, Заменитель грудного молока;200
1361;MEAD JOHNSON, ENFAMIL, с железом, жидкий концентрат, невосстановленный, Заменитель грудного молока;203
1362;MEAD JOHNSON, ENFAMIL, с железом, порошок, Заменитель грудного молока;55
1363;MEAD JOHNSON, ENFAMIL, с низким содерж. железа, готовый к употреблению, Заменитель грудного молока;205
1364;MEAD JOHNSON, ENFAMIL, с низким содерж. железа, жидкий концентрат, невосстановленный, Заменитель грудного молока;130
1365;MEAD JOHNSON, ENFAMIL, с низким содерж. железа, жидкий концентрат, невосстановленный, Заменитель грудного молока;148
1366;MEAD JOHNSON, LACTOFREE LIPIL, с железом, порошок, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота, Заменитель грудного молока;102
1367;MEAD JOHNSON, LACTOFREE, с железом, жидкий концентрат, невосстановленный, Заменитель грудного молока;189
1368;MEAD JOHNSON, LACTOFREE, с железом, порошок, невосстановленный, Заменитель грудного молока;286
1369;MEAD JOHNSON, NEXT STEP PROSOBEE, порошок, невосстановленный, Заменитель грудного молока;297
1370;MEAD JOHNSON, NEXT STEP, PROSOBEE LIPIL, порошок, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота, Заменитель грудного молока;136
1371;MEAD JOHNSON, NEXT STEP, PROSOBEE, LIPIL, готовый к употреблению, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота, Заменитель грудного молока;240
1372;MEAD JOHNSON, PREGESTIMIL, с железом, невосстановленный, Заменитель грудного молока;139
1373;MEAD JOHNSON, PREGESTIMIL, с железом, приготовленный из порошка, Заменитель грудного молока;68
1374;MEAD JOHNSON, PROSOBEE LIPIL, с железом, готовый к употреблению, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота, Заменитель грудного молока;105
1375;MEAD JOHNSON, PROSOBEE, с железом, готовый к употреблению, Заменитель грудного молока;276
1376;MEAD JOHNSON, PROSOBEE, с железом, жидкий концентрат, невосстановленный, Заменитель грудного молока;252
1377;MEAD JOHNSON,NEXT STEP PROSOBEE, приготовленный из порошка, Заменитель грудного молока;279
1378;NESTLE (Нестле), GOOD START 2 ESSENTIALS, с железом, готовый к употреблению, Заменитель грудного молока;207
1379;NESTLE (Нестле), GOOD START 2 ESSENTIALS, с железом, жидкий концентрат, невосстановленный, Заменитель грудного молока;86
1380;NESTLE (Нестле), GOOD START SUPREME, с железом, готовый к употреблению, Заменитель грудного молока;193
1381;NESTLE (Нестле), GOOD START SUPREME, с железом, жидкий концентрат, невосстановленный, Заменитель грудного молока;143
1382;NESTLE (Нестле), GOOD START SUPREME, с железом, порошок, Заменитель грудного молока;164
1383;NESTLE, GOOD START 2 ESSENTIALS, с железом, порошок, Заменитель грудного молока;65
1384;NESTLE, GOOD START ESSENTIALS соя, с железом, порошок, Заменитель грудного молока;142
1385;NESTLE, GOOD START ESSENTIALS, соя, с железом, жидкий концентрат, невосстановленный, Заменитель грудного молока;101
1386;NESTLE,GOOD START ESSENTIALS SOY, с железом, готовый к употреблению, Заменитель грудного молока;272
1387;PBM PRODUCTS, ULTRA BRIGHT BEGINNINGS, готовый к употреблению (ранее WYETH-AYERST), Заменитель грудного молока;237
1388;PBM PRODUCTS, ULTRA BRIGHT BEGINNINGS, жидкий концентрат, невосстановленный (ранее WYETH-AYERST), Заменитель грудного молока;114
1389;PBM PRODUCTS, ULTRA BRIGHT BEGINNINGS, порошок, (ранее WYETH-AYERST), Заменитель грудного молока;63
1390;PBM PRODUCTS, ULTRA BRIGHT BEGINNINGS, соя, готовый к употреблению, (ранее WYETH-AYERST), Заменитель грудного молока;278
1391;PBM PRODUCTS, ULTRA BRIGHT BEGINNINGS, соя, жидкий концентрат, (ранее WYETH-AYERST), Заменитель грудного молока;75
1392;PBM PRODUCTS, ULTRA BRIGHT BEGINNINGS, соя, порошок, (ранее WYETH-AYERST), Заменитель грудного молока;255
1393;PBM PRODUCTS, бренд-стор, готовый к употреблению (ранее WYETH-AYERST), Заменитель грудного молока;59
1394;PBM PRODUCTS, бренд-стор, жидкий концентрат, невосстановленный (ранее WYETH-AYERST), Заменитель грудного молока;117
1395;PBM PRODUCTS, бренд-стор, порошок, (ранее WYETH-AYERST), Заменитель грудного молока;113
1396;PBM PRODUCTS, бренд-стор, соя, готовый к употреблению, (ранее WYETH-AYERST), Заменитель грудного молока;71
1397;PBM PRODUCTS, бренд-стор, соя, жидкий концентрат, невосстановленный (ранее WYETH-AYERST), Заменитель грудного молока;62
1398;PBM PRODUCTS, бренд-стор, соя, порошок, (ранее WYETH-AYERST), Заменитель грудного молока;170
1399;ROSS, SIMILAC LACTOSE FREE ADVANCE, готовый к употреблению, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота, Заменитель грудного молока;228
1400;ROSS, SIMILAC LACTOSE FREE ADVANCE, жидкий концентрат, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота, Заменитель грудного молока;106
1401;ROSS, SIMILAC LACTOSE FREE ADVANCE, порошок, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота, Заменитель грудного молока;112
1402;ROSS, SIMILAC NATURAL CARE, ADVANCE, готовый к употреблению, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота, Заменитель грудного молока;183
1403;ROSS, SIMILAC NEOSURE ADVANCE, готовый к употреблению, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота, Заменитель грудного молока;262
1404;ROSS, SIMILAC NEOSURE ADVANCE, порошок, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота, Заменитель грудного молока;248
1405;ROSS, SIMILAC PM 60/40, порошок, невосстановленный, Заменитель грудного молока;97
1406;ROSS, SIMILAC SPECIAL CARE ADVANCE 24, с железом, готовый к употреблению, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота, Заменитель грудного молока;223
1407;ROSS, SIMILAC, ADVANCE, с железом, готовый к употреблению, Заменитель грудного молока;231
1408;ROSS, SIMILAC, ADVANCE, с железом, жидкий концентрат, невосстановленный, Заменитель грудного молока;271
1409;ROSS, SIMILAC, ADVANCE, с железом, порошок, невосстановленный, Заменитель грудного молока;186
1410;ROSS, SIMILAC, ALIMENTUM, ADVANCE, готовый к употреблению, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота, Заменитель грудного молока;166
1411;ROSS, SIMILAC, ALIMENTUM, с железом, готовый к употреблению, Заменитель грудного молока;137
1412;ROSS, SIMILAC, ISOMIL, ADVANCE с железом, готовый к употреблению, Заменитель грудного молока;181
1413;ROSS, SIMILAC, ISOMIL, ADVANCE с железом, жидкий концентрат, Заменитель грудного молока;192
1414;ROSS, SIMILAC, ISOMIL, ADVANCE с железом, порошок, невосстановленный, Заменитель грудного молока;56
1415;ROSS, SIMILAC, ISOMIL, с железом, готовый к употреблению, Заменитель грудного молока;107
1416;ROSS, SIMILAC, ISOMIL, с железом, жидкий концентрат, Заменитель грудного молока;61
1417;ROSS, SIMILAC, ISOMIL, с железом, порошок, невосстановленный, Заменитель грудного молока;87
1418;ROSS, SIMILAC, с железом, готовый к употреблению, Заменитель грудного молока;217
1419;ROSS, SIMILAC, с железом, жидкий концентрат, невосстановленный, Заменитель грудного молока;64
1420;ROSS, SIMILAC, с железом, порошок, невосстановленный, Заменитель грудного молока;218
1421;ROSS, SIMILAC, с низким содерж. железа, готовый к употреблению, Заменитель грудного молока;65
1422;ROSS, SIMILAC, с низким содерж. железа, жидкий концентрат, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота, Заменитель грудного молока;140
1423;ROSS, SIMILAC, с низким содерж. железа, порошок, невосстановленный, Заменитель грудного молока;244
1424;Детское питание, Банан, без тапиоки, пюре;121
1425;Детское питание, Вишневый коблер ( фруктовый пирог с толстой верхней коркой), для малышариков;130
1426;Детское питание, Горошек и коричневый рис;127
1427;Детское питание, Горошек, кубики?, для детей, начинающих ходить;82
1428;Детское питание, Груши, кубики, для детей, начинающих ходить;273
1429;Детское питание, Десерт, банан с яблоком, пюре;228
1430;Детское питание, Десерт, банановый йогурт, пюре;252
1431;Детское питание, Десерт, банановый пудинг, пюре;261
1432;Детское питание, Десерт, вишневый пудинг, с ванилью, для малышариков;200
1433;Детское питание, Десерт, вишневый пудинг, с ванилью, пюре;115
1434;Детское питание, Десерт, голландские яблоки, для малышариков;254
1435;Детское питание, Десерт, голландские яблоки, пюре;87
1436;Детское питание, Десерт, заварной крем, ванильный, для малышариков;202
1437;Детское питание, Десерт, заварной крем, ванильный, пюре;76
1438;Детское питание, Десерт, персиковый йогурт;99
1439;Детское питание, Десерт, персиковый коблер (фруктовый пирог с толстой верхней коркой), для малышариков;123
1440;Детское питание, Десерт, персиковый коблер (фруктовый пирог с толстой верхней коркой), пюре;176
1441;Детское питание, Десерт, тропические фрукты, для малышариков;52
1442;Детское питание, Десерт, фруктовый пудинг, ананас, пюре;243
1443;Детское питание, Десерт, фруктовый пудинг, апельсиновый, пюре;59
1444;Детское питание, Десерт, фруктовый, без доб. аскорбиновой кислоты, для малышариков;95
1445;Детское питание, Десерт, фруктовый, без доб. аскорбиновой кислоты, пюре;230
1446;Детское питание, Десерт, черничный йогурт, пюре;108
1447;Детское питание, Йогурт, цельное молоко, с фруктами, со злаками, с доб. DHA-Докозагексаеновая кислота;194
1448;Детское питание, Йогурт, цельное молоко, с фруктами, со злаками, с доб. железа;259
1449;Детское питание, Картофельное пюре, чеддер и брокколи, для детей, начинающих ходить;168
1450;Детское питание, Картошка, для детей, начинающих ходить;296
1451;Детское питание, Каша, бекон с яичными желтками, для малышариков;269
1452;Детское питание, Каша, коричневый рис, сухая, быстрого приготовления;248
1453;Детское питание, Каша, овсяная, приготовленная на цельном молоке;68
1454;Детское питание, Каша, овсяная, с бананом, приготовленная на цельном молоке;174
1455;Детское питание, Каша, овсяная, с бананом, сухая;288
1456;Детское питание, Каша, овсяная, с медом, приготовленная на цельном молоке;290
1457;Детское питание, Каша, овсяная, с медом, сухая;131
1458;Детское питание, Каша, овсяная, сухая;86
1459;Детское питание, Каша, овсянка, яблочное пюре с бананами, для малышариков;267
1460;Детское питание, Каша, овсянка, яблочное пюре с бананами, пюре;182
1461;Детское питание, Каша, рис, яблочное пюре с бананами, пюре;136
1462;Детское питание, Каша, рисовая, приготовленная на цельном молоке;114
1463;Детское питание, Каша, рисовая, с бананом, приготовленная на цельном молоке;181
1464;Детское питание, Каша, рисовая, с бананом, сухая;87
1465;Детское питание, Каша, рисовая, с медом, приготовленная на цельном молоке;132
1466;Детское питание, Каша, рисовая, сухая;274
1467;Детское питание, Каша, с высоким содерж. белка, приготовленная на цельном молоке;243
1468;Детское питание, Каша, с высоким содерж. белка, с яблоком и апельсином, приготовленная на цельном молоке;158
1469;Детское питание, Каша, с высоким содерж. белка, с яблоком и апельсином, сухая;153
1470;Детское питание, Каша, с яичными желтками, для малышариков;85
1471;Детское питание, Каша, с яичными желтками, пюре;68
1472;Детское питание, Каша, с яйцами, пюре;133
1473;Детское питание, Каша, смесь, приготовленная на цельном молоке;76
1474;Детское питание, Каша, смесь, с бананом, приготовленная на цельном молоке;180
1475;Детское питание, Каша, смесь, с бананом, сухая;139
1476;Детское питание, Каша, смесь, с медом, приготовленная на цельном молоке;219
1477;Детское питание, Каша, смесь, сухая;116
1478;Детское питание, Каша, смесь, яблочное пюре с бананами, для малышариков;141
1479;Детское питание, Каша, смесь, яблочное пюре с бананами, пюре;56
1480;Детское питание, Каша, цельная пшеница, с яблоками, сухая;294
1481;Детское питание, Каша, ячменная, приготовленная на цельном молоке;193
1482;Детское питание, Каша, ячменная, сухая;177
1483;Детское питание, Крекеры, овощные;78
1484;Детское питание, Крендельки;174
1485;Детское питание, Кукуруза и сладкий картофель (батат), пюре;111
1486;Детское питание, Морковка с говядиной, пюре;297
1487;Детское питание, Морковка, для детей, начинающих ходить;129
1488;Детское питание, Мясо, ветчина, для малышариков;201
1489;Детское питание, Мясо, ветчина, пюре;280
1490;Детское питание, Мясо, говядина с овощами, для детей, начинающих ходить;269
1491;Детское питание, Мясо, говядина, для малышариков;174
1492;Детское питание, Мясо, говядина, пюре;142
1493;Детское питание, Мясо, индейки, для малышариков;149
1494;Детское питание, Мясо, индейки, пюре;221
1495;Детское питание, Мясо, куриные палочки, для малышариков;80
1496;Детское питание, Мясо, мясные палочки, для малышариков;108
1497;Детское питание, Мясо, палочки из индейки, для малышариков;140
1498;Детское питание, Мясо, свинины, пюре;267
1499;Детское питание, Мясо, телятина, пюре;244
1500;Детское питание, Мясо, цыпленок, для малышариков;229
1501;Детское питание, Мясо, цыпленок, пюре;281
1502;Детское питание, Мясо, ягненка, для малышариков;75
1503;Детское питание, Мясо, ягненка, пюре;69
1504;Детское питание, Обед, говядина с овощами;284
1505;Детское питание, Обед, говядина с рисом, для детей, начинающих ходить;59
1506;Детское питание, Обед, говядина, лазанья, для детей, начинающих ходить;217
1507;Детское питание, Обед, индейка с овощами, для детей, начинающих ходить;140
1508;Детское питание, Обед, индейка с овощами, для малышариков;179
1509;Детское питание, Обед, индейка с овощами, пюре;247
1510;Детское питание, Обед, индейка с рисом и овощами, для детей, начинающих ходить;203
1511;Детское питание, Обед, индейка с рисом, для малышариков;201
1512;Детское питание, Обед, индейка с рисом, пюре;251
1513;Детское питание, Обед, картофель, с сыром и ветчиной, для детей, начинающих ходить;204
1514;Детское питание, Обед, куриный суп, пюре;101
1515;Детское питание, Обед, курица с рисом;157
1516;Детское питание, Обед, лапша с говядиной, для детей, раннего возраста;230
1517;Детское питание, Обед, лапша с говядиной, пюре;109
1518;Детское питание, Обед, лапша с курицей и овощами, для детей, от 1 года и старше;221
1519;Детское питание, Обед, лапша с курицей, для малышариков;215
1520;Детское питание, Обед, лапша с курицей, пюре;118
1521;Детское питание, Обед, макароны с помидорами и говядиной, для малышариков;253
1522;Детское питание, Обед, макароны с помидорами и говядиной, пюре;111
1523;Детское питание, Обед, макароны с сыром, для детей, начинающих ходить;130
1524;Детское питание, Обед, макароны с сыром, для малышариков;290
1525;Детское питание, Обед, макароны с сыром, пюре;58
1526;Детское питание, Обед, макароны, говядина в томатном соусе, для детей, начинающих ходить;293
1527;Детское питание, Обед, овощи с беконом, пюре;134
1528;Детское питание, Обед, овощи с ветчиной, для малышариков;192
1529;Детское питание, Обед, овощи с ветчиной, пюре;221
1530;Детское питание, Обед, овощи с говядиной, для малышариков;217
1531;Детское питание, Обед, овощи с говядиной, пюре;139
1532;Детское питание, Обед, овощи с клецками и говядиной, для малышариков;60
1533;Детское питание, Обед, овощи с клецками и говядиной, пюре;212
1534;Детское питание, Обед, овощи с лапшой и индейкой, для малышариков;148
1535;Детское питание, Обед, овощи с лапшой и индейкой, пюре;93
1536;Детское питание, Обед, овощи с мясом ягненка, для малышариков;77
1537;Детское питание, Обед, овощи с мясом ягненка, пюре;285
1538;Детское питание, Обед, овощи, лапша с курицей, для малышариков;80
1539;Детское питание, Обед, овощи, лапша с курицей, пюре;204
1540;Детское питание, Обед, паста (макаронные изделия), с овощами;83
1541;Детское питание, Обед, рагу из говядины, для детей, начинающих ходить;83
1542;Детское питание, Обед, рагу из цыпленка, для детей, начинающих ходить;205
1543;Детское питание, Обед, сладкий картофель (батат) с курицей, пюре;238
1544;Детское питание, Обед, смесь овощей, для малышариков;87
1545;Детское питание, Обед, смесь овощей, пюре;207
1546;Детское питание, Обед, спагетти, с мясом и помидорами (томатами), для детей, начинающих ходить;93
1547;Детское питание, Обед, спагетти, с мясом и помидорами (томатами), для малышариков;244
1548;Детское питание, Обед, цыпленок с брокколи, для малышариков;287
1549;Детское питание, Обед, цыпленок с овощами, для малышариков;228
1550;Детское питание, Обед, цыпленок с овощами, пюре;147
1551;Детское питание, Обогащенная злаковая плитка, с фруктовым наполнителем;257
1552;Детское питание, Овощи и коричневый рис, пюре;148
1553;Детское питание, Овощи, горошек, пюре;116
1554;Детское питание, Овощи, зеленая фасоль и картофель;140
1555;Детское питание, Овощи, зеленая фасоль, для малышариков;259
1556;Детское питание, Овощи, зеленая фасоль, пюре;54
1557;Детское питание, Овощи, кукуруза, протертая, для малышариков;208
1558;Детское питание, Овощи, кукуруза, протертая, пюре;289
1559;Детское питание, Овощи, морковь, для малышариков;136
1560;Детское питание, Овощи, морковь, пюре;112
1561;Детское питание, Овощи, мускатная тыква и кукуруза;214
1562;Детское питание, Овощи, овощная смесь, для малышариков;50
1563;Детское питание, Овощи, овощная смесь, пюре;297
1564;Детское питание, Овощи, с грядки, пюре;58
1565;Детское питание, Овощи, свекла, пюре;70
1566;Детское питание, Овощи, сквош (тыква или кабачок или патиссон), для малышариков;195
1567;Детское питание, Овощи, сквош (тыква или кабачок или патиссон), пюре;198
1568;Детское питание, Овощи, сладкий картофель (батат), для малышариков;257
1569;Детское питание, Овощи, сладкий картофель (батат), пюре;131
1570;Детское питание, Овощи, шпинат, протертый, пюре;150
1571;Детское питание, Овсянка с фруктами, сухая, быстрого приготовления, для детей, начинающих ходить;91
1572;Детское питание, Персики, кубики, для детей, начинающих ходить;204
1573;Детское питание, Печеные продукты, хлебные палочки;124
1574;Детское питание, Печенье;59
1575;Детское питание, Печенье для прорезывания зубов;75
1576;Детское питание, Печенье, детское, фруктовое;136
1577;Детское питание, Печенье, с марантой;209
1578;Детское питание, Равиоли, с сырной начинкой, с томатным соусом;187
1579;Детское питание, Рис с яблоками, сухой;70
1580;Детское питание, Рис, с фруктами, для малышариков;112
1581;Детское питание, Сливы, бананы и рис, пюре;137
